Low;High;Rain;Month/Year;City;Lat;Long
47,05;80,76;0,09;43983;Princeton;42,82;-118,35
63,8;88,5;0;44013;Princeton;42,82;-118,35
63,9;87,3;0;44044;Princeton;42,82;-118,35
55,9;82,6;0;44075;Princeton;42,82;-118,35
31,67;67,25;0,01;44105;Princeton;42,82;-118,35
27,9;59,21;0,05;44136;Princeton;42,82;-118,35
23,73;49,76;0,02;44166;Princeton;42,82;-118,35
-3;37,75;0,11;42736;Princeton;42,82;-118,35
24,17;51,7;0,04;42767;Princeton;42,82;-118,35
33,07;58,88;0,09;42795;Princeton;42,82;-118,35
39,18;59,54;0,05;42826;Princeton;42,82;-118,35
41,21;78,15;0;42856;Princeton;42,82;-118,35
52,62;83,48;0,04;42887;Princeton;42,82;-118,35
76,21;89,64;0;42917;Princeton;42,82;-118,35
67,83;85,54;0,01;42948;Princeton;42,82;-118,35
45,11;81,46;0,02;42979;Princeton;42,82;-118,35
38,64;61,33;0,02;43009;Princeton;42,82;-118,35
32,25;53,68;0,05;43040;Princeton;42,82;-118,35
19,42;42,75;0,03;43070;Princeton;42,82;-118,35
10,72;44,21;0;41640;Princeton;42,82;-118,35
19,59;48;0;41671;Princeton;42,82;-118,35
36,58;55,27;0,02;41699;Princeton;42,82;-118,35
38,54;60,28;0,07;41730;Princeton;42,82;-118,35
46,29;71;0,01;41760;Princeton;42,82;-118,35
54,23;75,67;0,01;41791;Princeton;42,82;-118,35
67,5;95,33;0;41821;Princeton;42,82;-118,35
61,88;86,71;0;41852;Princeton;42,82;-118,35
54,97;79,07;0,03;41883;Princeton;42,82;-118,35
43,17;70,08;0,01;41913;Princeton;42,82;-118,35
10,24;56,12;0,08;41944;Princeton;42,82;-118,35
13,94;57,33;0,11;41974;Princeton;42,82;-118,35
