Low;High;Rain;Month/Year;City;Lat;Long
47,05;80,76;0,09;43983;Princeton;42,82;-118,35
63,8;88,5;0;44013;Princeton;42,82;-118,35
63,9;87,3;0;44044;Princeton;42,82;-118,35
55,9;82,6;0;44075;Princeton;42,82;-118,35
31,67;67,25;0,01;44105;Princeton;42,82;-118,35
27,9;59,21;0,05;44136;Princeton;42,82;-118,35
23,73;49,76;0,02;44166;Princeton;42,82;-118,35
-3;37,75;0,11;42736;Princeton;42,82;-118,35
24,17;51,7;0,04;42767;Princeton;42,82;-118,35
33,07;58,88;0,09;42795;Princeton;42,82;-118,35
39,18;59,54;0,05;42826;Princeton;42,82;-118,35
41,21;78,15;0;42856;Princeton;42,82;-118,35
52,62;83,48;0,04;42887;Princeton;42,82;-118,35
76,21;89,64;0;42917;Princeton;42,82;-118,35
67,83;85,54;0,01;42948;Princeton;42,82;-118,35
45,11;81,46;0,02;42979;Princeton;42,82;-118,35
38,64;61,33;0,02;43009;Princeton;42,82;-118,35
32,25;53,68;0,05;43040;Princeton;42,82;-118,35
19,42;42,75;0,03;43070;Princeton;42,82;-118,35
10,72;44,21;0;41640;Princeton;42,82;-118,35
19,59;48;0;41671;Princeton;42,82;-118,35
36,58;55,27;0,02;41699;Princeton;42,82;-118,35
38,54;60,28;0,07;41730;Princeton;42,82;-118,35
46,29;71;0,01;41760;Princeton;42,82;-118,35
54,23;75,67;0,01;41791;Princeton;42,82;-118,35
67,5;95,33;0;41821;Princeton;42,82;-118,35
61,88;86,71;0;41852;Princeton;42,82;-118,35
54,97;79,07;0,03;41883;Princeton;42,82;-118,35
43,17;70,08;0,01;41913;Princeton;42,82;-118,35
10,24;56,12;0,08;41944;Princeton;42,82;-118,35
13,94;57,33;0,11;41974;Princeton;42,82;-118,35
37,1;49,2;2,79;43101;Portland;45,53;-122,69
32,3;42,9;4,1;43132;Portland;45,53;-122,69
36,7;56,6;1,54;43160;Portland;45,53;-122,69
46,1;62,6;2,98;43191;Portland;45,53;-122,69
51,6;72,7;1,51;43221;Portland;45,53;-122,69
54,8;76,6;53,7;43252;Portland;45,53;-122,69
60,3;80,3;0,8;43282;Portland;45,53;-122,69
60,9;82,6;1,23;43313;Portland;45,53;-122,69
56,8;72,1;3,85;43344;Portland;45,53;-122,69
42,1;60,8;1,51;43374;Portland;45,53;-122,69
39,2;54,4;1,52;43405;Portland;45,53;-122,69
38;48,1;4,39;43435;Portland;45,53;-122,69
40,4;50,8;5,36;43466;Portland;45,53;-122,69
35,9;49;1,86;43497;Portland;45,53;-122,69
38,5;55,8;2,5;43525;Portland;45,53;-122,69
52,4;73,6;0,17;43556;Portland;45,53;-122,69
45,4;62,1;3,34;43586;Portland;45,53;-122,69
55,3;76,2;1,03;43617;Portland;45,53;-122,69
60,5;87,5;0,02;43647;Portland;45,53;-122,69
60;84,3;0,06;43678;Portland;45,53;-122,69
52,8;75,9;1,59;43709;Portland;45,53;-122,69
47,1;66,1;3,43;43739;Portland;45,53;-122,69
41,4;54,8;2,86;43770;Portland;45,53;-122,69
38,8;49,1;5,08;43800;Portland;45,53;-122,69
37;49,9;3,33;42005;Portland;45,53;-122,69
41,5;56,8;3,71;42036;Portland;45,53;-122,69
42;62,8;4,71;42064;Portland;45,53;-122,69
42,6;62,9;1,75;42095;Portland;45,53;-122,69
51,5;70,7;0,59;42125;Portland;45,53;-122,69
57,9;82,7;0,4;42156;Portland;45,53;-122,69
61,1;86,7;0,57;42186;Portland;45,53;-122,69
60,5;84,3;0,66;42217;Portland;45,53;-122,69
53,4;74,6;1,26;42248;Portland;45,53;-122,69
51,2;69;3,69;42278;Portland;45,53;-122,69
38,5;52;4,49;42309;Portland;45,53;-122,69
39,1;47,7;15,24;42339;Portland;45,53;-122,69
38;47,2;7,23;42370;Portland;45,53;-122,69
42,2;56,4;4,1;42401;Portland;45,53;-122,69
43;57,6;4,73;42430;Portland;45,53;-122,69
47;68,5;1,96;42461;Portland;45,53;-122,69
52,1;72,3;1,72;42491;Portland;45,53;-122,69
55,4;76,8;1,42;42522;Portland;45,53;-122,69
59,1;79,1;0,66;42552;Portland;45,53;-122,69
59,3;84,5;0,09;42583;Portland;45,53;-122,69
52,5;74,1;1,69;42614;Portland;45,53;-122,69
50,5;62,3;8,31;42644;Portland;45,53;-122,69
46,6;58;6,83;42675;Portland;45,53;-122,69
32,2;42,3;4,61;42705;Portland;45,53;-122,69
40,5;49,6;4,94;40179;Portland;45,53;-122,69
39;54,1;2,8;40210;Portland;45,53;-122,69
39,6;56,8;3,58;40238;Portland;45,53;-122,69
42,8;59,1;2,92;40269;Portland;45,53;-122,69
46,8;63,2;4,75;40299;Portland;45,53;-122,69
52,1;68,8;4,28;40330;Portland;45,53;-122,69
55,9;79;0,59;40360;Portland;45,53;-122,69
56,8;79,5;0,23;40391;Portland;45,53;-122,69
55,9;73;3,36;40422;Portland;45,53;-122,69
46,7;63,5;3,87;40452;Portland;45,53;-122,69
39,6;50,3;6,63;40483;Portland;45,53;-122,69
38,5;46,6;8,35;40513;Portland;45,53;-122,69
36,1;47,3;4,73;40544;Portland;45,53;-122,69
34,1;46,5;4,29;40575;Portland;45,53;-122,69
39,7;52,5;6,43;40603;Portland;45,53;-122,69
39,8;56;5,04;40634;Portland;45,53;-122,69
45,6;62,5;2,92;40664;Portland;45,53;-122,69
53,2;70,1;0,73;40695;Portland;45,53;-122,69
56,5;76,9;0,96;40725;Portland;45,53;-122,69
59,2;80,5;0,17;40756;Portland;45,53;-122,69
59,2;80,5;0,17;40787;Portland;45,53;-122,69
49,2;61,8;2,14;40817;Portland;45,53;-122,69
38,5;51,3;6,57;40848;Portland;45,53;-122,69
38,5;51,3;2,51;40878;Portland;45,53;-122,69
34,3;47,3;6,82;40909;Portland;45,53;-122,69
37,7;49;2,83;40940;Portland;45,53;-122,69
38;52,1;7,89;40969;Portland;45,53;-122,69
44,5;61,5;3,25;41000;Portland;45,53;-122,69
48;67,9;3,37;41030;Portland;45,53;-122,69
52,7;69,7;4,1;41061;Portland;45,53;-122,69
57,8;78,2;0,21;41091;Portland;45,53;-122,69
58,9;83,3;0;41122;Portland;45,53;-122,69
53,4;78,7;0,04;41153;Portland;45,53;-122,69
47,6;64,4;6,14;41183;Portland;45,53;-122,69
43,3;54,1;8,23;41214;Portland;45,53;-122,69
38,5;47,1;7,56;41244;Portland;45,53;-122,69
33;42,7;3,49;41275;Portland;45,53;-122,69
38,1;50,7;1,26;41306;Portland;45,53;-122,69
39,9;57,4;1,46;41334;Portland;45,53;-122,69
43,4;61,3;2,19;41365;Portland;45,53;-122,69
49,9;69,5;4,75;41395;Portland;45,53;-122,69
55,3;75,4;1,35;41426;Portland;45,53;-122,69
57,6;82,4;0;41456;Portland;45,53;-122,69
60,9;81,5;0,78;41487;Portland;45,53;-122,69
56,7;72,8;5,62;41518;Portland;45,53;-122,69
43,6;63,4;1,15;41548;Portland;45,53;-122,69
38,8;52,5;3,05;41579;Portland;45,53;-122,69
31,1;41,6;1,62;41609;Portland;45,53;-122,69
33,6;43,9;2,95;39448;Portland;45,53;-122,69
37,3;52,4;3,09;39479;Portland;45,53;-122,69
37,9;52,9;0,19;39508;Portland;45,53;-122,69
40,3;56,7;0,33;39539;Portland;45,53;-122,69
50,3;67,5;3,25;39569;Portland;45,53;-122,69
51,9;71,8;0,75;39600;Portland;45,53;-122,69
56,8;80,8;1,47;39630;Portland;45,53;-122,69
59,2;80;2,29;39661;Portland;45,53;-122,69
53,1;77,3;1,28;39692;Portland;45,53;-122,69
44,9;62,2;4,39;39722;Portland;45,53;-122,69
43,3;55,1;2,39;39753;Portland;45,53;-122,69
32,1;42,8;0,94;39783;Portland;45,53;-122,69
33,9;46,2;1,86;39814;Portland;45,53;-122,69
32,4;50,3;1,28;39845;Portland;45,53;-122,69
38,1;52,5;3,36;39873;Portland;45,53;-122,69
42,2;62,3;1,43;39904;Portland;45,53;-122,69
48,7;71,5;3,32;39934;Portland;45,53;-122,69
56,6;74,8;0,44;39965;Portland;45,53;-122,69
60,6;86,5;0,54;39995;Portland;45,53;-122,69
59,3;80,5;1;40026;Portland;45,53;-122,69
55,1;77,2;1,24;40057;Portland;45,53;-122,69
47;62,3;3,05;40087;Portland;45,53;-122,69
41,4;54,1;5,13;40118;Portland;45,53;-122,69
29,6;41,6;3,76;40148;Portland;45,53;-122,69
27;28;5,67;39448;Eugune;44,08;-123,08
34,1;50,9;6,27;39479;Eugune;44,08;-123,08
34,7;52;2,73;39508;Eugune;44,08;-123,08
36,8;56,6;0,75;39539;Eugune;44,08;-123,08
45,3;66,6;3,85;39569;Eugune;44,08;-123,08
44,2;71,9;2,01;39600;Eugune;44,08;-123,08
50,5;83,8;1,71;39630;Eugune;44,08;-123,08
52,6;82;1,51;39661;Eugune;44,08;-123,08
45,4;78,3;0,66;39692;Eugune;44,08;-123,08
40,1;63;3,55;39722;Eugune;44,08;-123,08
41,4;54,5;1,3;39753;Eugune;44,08;-123,08
33,7;44,5;2,2;39783;Eugune;44,08;-123,08
10,1;41,7;3,6;39814;Eugune;44,08;-123,08
25,1;42,8;3,75;39845;Eugune;44,08;-123,08
53,2;55,8;3,12;39873;Eugune;44,08;-123,08
56,1;67,7;4,38;39904;Eugune;44,08;-123,08
52,4;59,9;2,38;39934;Eugune;44,08;-123,08
33,4;71,7;0,46;39965;Eugune;44,08;-123,08
41,3;77;4,47;39995;Eugune;44,08;-123,08
55,2;83;2,58;40026;Eugune;44,08;-123,08
42,7;57,4;0,86;40057;Eugune;44,08;-123,08
51;49,8;0,26;40087;Eugune;44,08;-123,08
30,3;46;3,7;40118;Eugune;44,08;-123,08
21,1;63,1;2,42;40148;Eugune;44,08;-123,08
23,1;53,7;0,12;40179;Eugune;44,08;-123,08
12,7;55,4;0,85;40210;Eugune;44,08;-123,08
46,8;56,7;3,37;40238;Eugune;44,08;-123,08
41,3;42,1;1,39;40269;Eugune;44,08;-123,08
31,6;64,1;4,15;40299;Eugune;44,08;-123,08
58,4;79,8;1,94;40330;Eugune;44,08;-123,08
35,8;91,6;0,39;40360;Eugune;44,08;-123,08
55,5;89,5;1,47;40391;Eugune;44,08;-123,08
30,8;54;2,92;40422;Eugune;44,08;-123,08
46,8;49,1;2,9;40452;Eugune;44,08;-123,08
54,2;62;0,34;40483;Eugune;44,08;-123,08
20,7;54,1;2,81;40513;Eugune;44,08;-123,08
18,8;49,4;3,1;40544;Eugune;44,08;-123,08
27,4;41,4;0,01;40575;Eugune;44,08;-123,08
38,6;58,5;4;40603;Eugune;44,08;-123,08
57,3;68,4;1,15;40634;Eugune;44,08;-123,08
57,5;54,1;0,45;40664;Eugune;44,08;-123,08
31,8;95,5;0,8;40695;Eugune;44,08;-123,08
59,1;87,7;1,34;40725;Eugune;44,08;-123,08
42,1;96,9;0,78;40756;Eugune;44,08;-123,08
33;60,3;0,5;40787;Eugune;44,08;-123,08
56,1;54,7;2,5;40817;Eugune;44,08;-123,08
31,2;54,9;4,81;40848;Eugune;44,08;-123,08
15,2;50,9;0,28;40878;Eugune;44,08;-123,08
25,7;60,6;3,07;40909;Eugune;44,08;-123,08
16,8;54,5;4,26;40940;Eugune;44,08;-123,08
45,4;48,9;4,44;40969;Eugune;44,08;-123,08
36,6;50,6;3,83;41000;Eugune;44,08;-123,08
37,2;61,7;3,52;41030;Eugune;44,08;-123,08
57,5;73,7;2,13;41061;Eugune;44,08;-123,08
32,4;90,7;1,81;41091;Eugune;44,08;-123,08
34,5;91,5;0,05;41122;Eugune;44,08;-123,08
35,1;40;0,26;41153;Eugune;44,08;-123,08
56,4;59,1;1,91;41183;Eugune;44,08;-123,08
43,2;57,6;1,02;41214;Eugune;44,08;-123,08
30;69,7;3,83;41244;Eugune;44,08;-123,08
11,3;60,9;3,43;41275;Eugune;44,08;-123,08
27,6;56,9;2,34;41306;Eugune;44,08;-123,08
30,8;46,9;3,32;41334;Eugune;44,08;-123,08
52,7;66,7;4,62;41365;Eugune;44,08;-123,08
39,2;47,2;0,99;41395;Eugune;44,08;-123,08
36,8;73,9;1,44;41426;Eugune;44,08;-123,08
31,6;77,9;4,32;41456;Eugune;44,08;-123,08
54,5;75,9;1,9;41487;Eugune;44,08;-123,08
36,1;41,8;4,24;41518;Eugune;44,08;-123,08
30,9;49,7;0,83;41548;Eugune;44,08;-123,08
32,7;66,9;0,38;41579;Eugune;44,08;-123,08
28,1;67,8;1,7;41609;Eugune;44,08;-123,08
15,7;65;1,67;42005;Eugune;44,08;-123,08
12,9;58,6;0,33;42036;Eugune;44,08;-123,08
59,3;43,3;0,24;42064;Eugune;44,08;-123,08
37,4;53,7;3,49;42095;Eugune;44,08;-123,08
57,4;67,4;0,58;42125;Eugune;44,08;-123,08
44,6;89,2;2,01;42156;Eugune;44,08;-123,08
50,9;94,6;2,3;42186;Eugune;44,08;-123,08
52,5;83,4;0,6;42217;Eugune;44,08;-123,08
59,7;50,2;0,91;42248;Eugune;44,08;-123,08
48,6;47,5;3,23;42278;Eugune;44,08;-123,08
50,5;49,7;4,34;42309;Eugune;44,08;-123,08
18,8;58,5;2,67;42339;Eugune;44,08;-123,08
16;47;4,07;42370;Eugune;44,08;-123,08
29;45,5;1,54;42401;Eugune;44,08;-123,08
49;48;2,31;42430;Eugune;44,08;-123,08
49,9;44,3;1,54;42461;Eugune;44,08;-123,08
47;51,4;1,67;42491;Eugune;44,08;-123,08
59;88;4,53;42522;Eugune;44,08;-123,08
40,7;74,5;3,57;42552;Eugune;44,08;-123,08
55,2;82,3;3,51;42583;Eugune;44,08;-123,08
44,2;67,2;3,22;42614;Eugune;44,08;-123,08
32,1;49,6;2,49;42644;Eugune;44,08;-123,08
52,9;47,4;4,25;42675;Eugune;44,08;-123,08
10,5;66,1;1,15;42705;Eugune;44,08;-123,08
14,3;64,7;3,88;43101;Eugune;44,08;-123,08
26,6;61,9;3,19;43132;Eugune;44,08;-123,08
31,9;61,8;2,32;43160;Eugune;44,08;-123,08
38,3;62,7;0,67;43191;Eugune;44,08;-123,08
51,6;53,8;1,26;43221;Eugune;44,08;-123,08
39,3;82,9;3,48;43252;Eugune;44,08;-123,08
42,3;72,3;1,07;43282;Eugune;44,08;-123,08
43,9;71,4;0,4;43313;Eugune;44,08;-123,08
52,4;57,4;3,66;43344;Eugune;44,08;-123,08
59,7;55,8;4,77;43374;Eugune;44,08;-123,08
48,7;58,3;0,06;43405;Eugune;44,08;-123,08
23,5;46,3;0,46;43435;Eugune;44,08;-123,08
28,2;49,7;0,13;43466;Eugune;44,08;-123,08
28,7;60,8;1,9;43497;Eugune;44,08;-123,08
35,3;54,2;0,63;43525;Eugune;44,08;-123,08
57,7;55,6;4,08;43556;Eugune;44,08;-123,08
50,2;57,5;1,02;43586;Eugune;44,08;-123,08
34,4;77,7;2,24;43617;Eugune;44,08;-123,08
42,1;92,9;3,57;43647;Eugune;44,08;-123,08
30,4;81,1;4,01;43678;Eugune;44,08;-123,08
50,9;52,7;3,72;43709;Eugune;44,08;-123,08
51,5;57,4;1,06;43739;Eugune;44,08;-123,08
43,8;53,6;1,83;43770;Eugune;44,08;-123,08
11,2;59,4;1,24;43800;Eugune;44,08;-123,08
12,6;61,5;0;39448;Princeton;42,82;-118,35
16;42,6;0,21;39479;Princeton;42,82;-118,35
37,3;42,3;0,05;39508;Princeton;42,82;-118,35
55,8;63,9;0,2;39539;Princeton;42,82;-118,35
34,9;54,2;0,14;39569;Princeton;42,82;-118,35
35,5;86,2;0,02;39600;Princeton;42,82;-118,35
58;70,7;0,24;39630;Princeton;42,82;-118,35
35,6;88,2;0,19;39661;Princeton;42,82;-118,35
32,3;49,5;0,01;39692;Princeton;42,82;-118,35
30,4;69,6;0,23;39722;Princeton;42,82;-118,35
54,2;62,6;0,09;39753;Princeton;42,82;-118,35
23,2;54,9;0,17;39783;Princeton;42,82;-118,35
1,4;57,5;0,11;39814;Princeton;42,82;-118,35
0,6;61,7;0,08;39845;Princeton;42,82;-118,35
43,3;40,6;0,08;39873;Princeton;42,82;-118,35
57,4;63,5;0,15;39904;Princeton;42,82;-118,35
59;48,9;0,16;39934;Princeton;42,82;-118,35
56,4;80,6;0,28;39965;Princeton;42,82;-118,35
43,7;90,2;0,1;39995;Princeton;42,82;-118,35
57,5;82;0,02;40026;Princeton;42,82;-118,35
50,8;69,1;0,23;40057;Princeton;42,82;-118,35
45,4;44,2;0,01;40087;Princeton;42,82;-118,35
42,9;53,6;0,02;40118;Princeton;42,82;-118,35
14,6;47,8;0,27;40148;Princeton;42,82;-118,35
11,9;60,1;0,15;40179;Princeton;42,82;-118,35
26,9;67;0,29;40210;Princeton;42,82;-118,35
40,7;62,5;0,09;40238;Princeton;42,82;-118,35
32,5;64,5;0,21;40269;Princeton;42,82;-118,35
45,2;62,4;0,3;40299;Princeton;42,82;-118,35
40,8;88,3;0,28;40330;Princeton;42,82;-118,35
46,7;92,9;0,17;40360;Princeton;42,82;-118,35
34,7;75;0,01;40391;Princeton;42,82;-118,35
39,8;56,3;0,06;40422;Princeton;42,82;-118,35
32,5;65,1;0,24;40452;Princeton;42,82;-118,35
30,9;51,9;0,03;40483;Princeton;42,82;-118,35
12,3;62,2;0,13;40513;Princeton;42,82;-118,35
27,3;43,1;0,26;40544;Princeton;42,82;-118,35
0,6;60,9;0,02;40575;Princeton;42,82;-118,35
48,9;56,5;0,04;40603;Princeton;42,82;-118,35
34,1;48,7;0,07;40634;Princeton;42,82;-118,35
36;69,9;0,24;40664;Princeton;42,82;-118,35
39,5;90,3;0,06;40695;Princeton;42,82;-118,35
49,5;92,5;0,03;40725;Princeton;42,82;-118,35
50,8;86,6;0,07;40756;Princeton;42,82;-118,35
41,6;57,2;0,11;40787;Princeton;42,82;-118,35
52;57,7;0,28;40817;Princeton;42,82;-118,35
53,8;59,6;0,07;40848;Princeton;42,82;-118,35
10,7;41,3;0,12;40878;Princeton;42,82;-118,35
12,6;60,8;0,21;40909;Princeton;42,82;-118,35
25,1;51;0,01;40940;Princeton;42,82;-118,35
48,4;52,4;0,02;40969;Princeton;42,82;-118,35
31,7;65;0,29;41000;Princeton;42,82;-118,35
42,1;40,3;0,29;41030;Princeton;42,82;-118,35
56,9;88,3;0,06;41061;Princeton;42,82;-118,35
36,5;96,5;0,05;41091;Princeton;42,82;-118,35
50,6;94,5;0,02;41122;Princeton;42,82;-118,35
45,5;61;0,22;41153;Princeton;42,82;-118,35
58,5;64,2;0,01;41183;Princeton;42,82;-118,35
33,1;57,9;0,29;41214;Princeton;42,82;-118,35
13,6;70;0,05;41244;Princeton;42,82;-118,35
1,2;53,2;0,22;41275;Princeton;42,82;-118,35
1,8;69,5;0,15;41306;Princeton;42,82;-118,35
31,4;46;0,2;41334;Princeton;42,82;-118,35
38;51,8;0,02;41365;Princeton;42,82;-118,35
44,7;62;0,15;41395;Princeton;42,82;-118,35
37,9;96,4;0,11;41426;Princeton;42,82;-118,35
30,2;99,4;0,3;41456;Princeton;42,82;-118,35
57,4;84,3;0,14;41487;Princeton;42,82;-118,35
46,1;40,7;0,04;41518;Princeton;42,82;-118,35
48,9;52,7;0,29;41548;Princeton;42,82;-118,35
59,1;45,4;0,28;41579;Princeton;42,82;-118,35
5,8;50,1;0,09;41609;Princeton;42,82;-118,35
20,6;65,6;0,17;42005;Princeton;42,82;-118,35
6,4;59,7;0,22;42036;Princeton;42,82;-118,35
49;52,3;0,2;42064;Princeton;42,82;-118,35
48,3;61,2;0,14;42095;Princeton;42,82;-118,35
58,1;61,3;0,09;42125;Princeton;42,82;-118,35
45;80,8;0,19;42156;Princeton;42,82;-118,35
38,3;82,5;0,09;42186;Princeton;42,82;-118,35
31;90,9;0,07;42217;Princeton;42,82;-118,35
51,1;62,5;0,3;42248;Princeton;42,82;-118,35
46,5;58;0,06;42278;Princeton;42,82;-118,35
59;70;0,17;42309;Princeton;42,82;-118,35
8,5;41,4;0,02;42339;Princeton;42,82;-118,35
16,2;49,8;0,22;42370;Princeton;42,82;-118,35
4,2;64,6;0,29;42401;Princeton;42,82;-118,35
43,3;48,9;0,2;42430;Princeton;42,82;-118,35
47,7;56,6;0,23;42461;Princeton;42,82;-118,35
41,1;53,6;0,11;42491;Princeton;42,82;-118,35
30,6;72,8;0,18;42522;Princeton;42,82;-118,35
51,6;99,8;0,15;42552;Princeton;42,82;-118,35
44,4;97;0,24;42583;Princeton;42,82;-118,35
33,6;69,2;0,09;42614;Princeton;42,82;-118,35
35,3;43,9;0,22;42644;Princeton;42,82;-118,35
43,8;66,8;0,25;42675;Princeton;42,82;-118,35
1,1;47,2;0,06;42705;Princeton;42,82;-118,35
14,2;68,6;0,21;43101;Princeton;42,82;-118,35
24,8;69,6;0,15;43132;Princeton;42,82;-118,35
34,7;43,9;0,27;43160;Princeton;42,82;-118,35
55,1;50,7;0,05;43191;Princeton;42,82;-118,35
47,4;61,5;0,17;43221;Princeton;42,82;-118,35
31,6;83;0,03;43252;Princeton;42,82;-118,35
55,9;91,7;0,23;43282;Princeton;42,82;-118,35
58;94,4;0,3;43313;Princeton;42,82;-118,35
33,8;56,8;0,08;43344;Princeton;42,82;-118,35
38,2;48,1;0,09;43374;Princeton;42,82;-118,35
60;66,9;0;43405;Princeton;42,82;-118,35
9,8;44,8;0,26;43435;Princeton;42,82;-118,35
0,7;48,4;0,2;43466;Princeton;42,82;-118,35
12,2;41,1;0,08;43497;Princeton;42,82;-118,35
58,9;52,9;0,15;43525;Princeton;42,82;-118,35
42,3;54,1;0,12;43556;Princeton;42,82;-118,35
56,9;56,5;0,03;43586;Princeton;42,82;-118,35
46,3;93,3;0,28;43617;Princeton;42,82;-118,35
33,8;90,8;0,21;43647;Princeton;42,82;-118,35
41,6;95,4;0,06;43678;Princeton;42,82;-118,35
56,3;57,2;0,22;43709;Princeton;42,82;-118,35
45,4;69,1;0,13;43739;Princeton;42,82;-118,35
37,4;45,4;0,18;43770;Princeton;42,82;-118,35
19,7;55,7;0,25;43800;Princeton;42,82;-118,35
